Correct,Wrong
MITCHELLS PLAIN,MITCHELLS PLAIN / TYGERBERG
MITCHELLS PLAIN,"MITCHELLS PLAIN"""
MITCHELLS PLAIN,MITCHELLS PLAINS
MITCHELLS PLAIN,MITCHELL'S PLEIN
MITCHELLS PLAIN,MITCHELS PLAIN
MITCHELLS PLAIN,MITCHEL'S PLAIN
MITCHELLS PLAIN,MITCHELSPLAIN
MITCHELLS PLAIN,MITTCHELLS PLAIN
OOSTENBERG,CONIFERS
OOSTENBERG,OOSTENBRG
PHILIPPI,ACACIA PARK
PHILIPPI,OPPOSITE SAMORA
PHILIPPI,PHILIPI
PHILIPPI,PHILLIPI
PHILIPPI,PHILLIPI EAST
PHILIPPI,PHILLIPPI
ROSEBANK,RONDEBERG
SIMONSTOWN,SIMONS TOWN
SIR LOWRYS PASS,SIR LOWRY 'S PASS VILLAGE
SIR LOWRYS PASS,SIR LOWRY'S PASS
SIR LOWRYS PASS,SIR LOWRY'S PASS VILLAGE
SOMERSET WEST,FAURE
SOMERSET WEST,SOMMERSET WEST
SOUTH PENINSULA,CONSTANTIA
SOUTH PENINSULA,KOMMETJIE
SOUTH PENINSULA,NEWLANDS
SOUTH PENINSULA,SALT RIVER
SOUTH PENINSULA,SOUTH PEN
SOUTH PENINSULA,SOUTH PENINISULA
SOUTH PENINSULA,SP
STRAND,ASANDA VILLAGE
STRAND,NOMZAMO
STRAND,"STRAND, CAPE TOWN"
STRAND,"STRAND, HELDERBERG"
TAFELSIG,LOST CITY
TAFELSIG,PLATTEKLOOF
TYGERBERG,TYGEBERG
TYGERBERG,TYGERBEERG
TYGERBERG,TYGERBER
WESTGATE,WEST GATE
PAARL FARMS,WINELANDS/PAARL MUNICIPALITY
PAARL FARMS,WINELANDS
